id;id_operateur;id_user;id_shift;id_station;date;week;day
1;723;2;2;25;2022-12-12;51;lundi
2;723;2;2;25;2022-12-13;51;mardi
3;723;2;2;25;2022-12-14;51;mercredi
4;723;2;2;25;2022-12-15;51;jeudi
5;723;2;2;25;2022-12-16;51;vendredi
6;723;2;2;25;2022-12-05;50;lundi
7;723;2;2;25;2022-12-06;50;mardi
8;723;2;2;25;2022-12-07;50;mercredi
9;723;2;2;25;2022-12-08;50;jeudi
10;723;2;2;25;2022-12-09;50;vendredi
11;723;2;2;25;2022-12-19;52;lundi
12;723;2;2;25;2022-12-20;52;mardi
13;723;2;2;25;2022-12-21;52;mercredi
14;723;2;2;25;2022-12-22;52;jeudi
15;723;2;2;25;2022-12-23;52;vendredi
16;723;2;2;25;2023-01-03;1;mardi
17;723;2;2;25;2023-01-04;1;mercredi
18;723;2;2;25;2023-01-05;1;jeudi
19;723;2;2;25;2023-01-06;1;vendredi
20;723;2;2;25;2023-01-09;2;lundi
21;723;2;2;25;2023-01-10;2;mardi
22;723;2;2;25;2023-01-11;2;mercredi
23;723;2;2;25;2023-01-12;2;jeudi
24;723;2;2;25;2023-01-13;2;vendredi
25;723;2;2;25;2023-01-16;3;lundi
26;723;2;2;25;2023-01-17;3;mardi
27;723;2;2;25;2023-01-18;3;mercredi
28;723;2;2;25;2023-01-19;3;jeudi
29;723;2;2;25;2023-01-20;3;vendredi
30;723;2;2;25;2023-01-23;4;lundi
31;723;2;2;25;2023-01-24;4;mardi
32;723;2;2;69;2023-01-25;4;mercredi
33;723;2;2;69;2023-01-26;4;jeudi
34;723;2;2;69;2023-01-27;4;vendredi
35;723;2;2;25;2023-03-13;11;lundi
36;723;2;2;25;2023-03-20;12;lundi
37;723;2;2;25;2023-03-21;12;mardi
38;723;2;2;25;2023-03-22;12;mercredi
39;723;2;2;25;2023-03-23;12;jeudi
40;723;2;2;25;2023-03-24;12;vendredi
41;723;2;2;25;2023-03-27;13;lundi
42;723;2;2;25;2023-03-28;13;mardi
43;723;2;2;25;2023-03-29;13;mercredi
44;723;2;2;25;2023-03-30;13;jeudi
45;723;2;2;25;2023-03-31;13;vendredi
46;723;2;2;25;2023-04-03;14;lundi
47;723;2;2;25;2023-04-04;14;mardi
48;723;2;2;25;2023-04-05;14;mercredi
49;723;2;2;25;2023-04-06;14;jeudi
50;723;2;2;25;2023-04-07;14;vendredi
51;722;1;1;24;2022-12-05;50;lundi
52;722;1;1;24;2022-12-06;50;mardi
53;722;1;1;24;2022-12-07;50;mercredi
54;722;1;1;24;2022-12-08;50;jeudi
55;722;1;1;24;2022-12-09;50;vendredi
56;722;1;1;24;2022-12-12;51;lundi
57;722;1;1;24;2022-12-13;51;mardi
58;722;1;1;26;2022-12-14;51;mercredi
59;722;1;1;70;2022-12-15;51;jeudi
60;722;1;1;26;2022-12-16;51;vendredi
61;722;1;1;26;2023-01-03;1;mardi
62;722;1;1;26;2023-01-04;1;mercredi
63;722;1;1;26;2023-01-05;1;jeudi
64;722;1;1;26;2023-01-06;1;vendredi
65;722;1;1;26;2023-01-09;2;lundi
66;722;1;1;26;2023-01-10;2;mardi
67;722;1;1;26;2023-01-11;2;mercredi
68;722;1;1;26;2023-01-12;2;jeudi
69;722;1;1;26;2023-01-13;2;vendredi
70;722;1;1;24;2023-01-16;3;lundi
71;722;1;1;24;2023-01-17;3;mardi
72;722;1;1;67;2023-01-18;3;mercredi
73;722;1;1;67;2023-01-19;3;jeudi
74;722;1;1;67;2023-01-20;3;vendredi
75;722;1;1;24;2023-01-23;4;lundi
76;722;1;1;24;2023-01-24;4;mardi
77;722;1;1;24;2023-01-25;4;mercredi
78;722;1;1;24;2023-01-26;4;jeudi
79;722;1;1;24;2023-01-27;4;vendredi
80;722;1;1;26;2023-01-30;5;lundi
81;722;1;1;26;2023-01-31;5;mardi
82;722;1;1;26;2023-02-01;5;mercredi
83;722;1;1;26;2023-02-02;5;jeudi
84;722;1;1;26;2023-02-03;5;vendredi
85;722;1;1;24;2023-02-06;6;lundi
86;722;1;1;24;2023-02-07;6;mardi
87;722;1;1;24;2023-02-08;6;mercredi
88;722;1;1;24;2023-02-09;6;jeudi
89;722;1;1;26;2023-02-10;6;vendredi
90;722;1;1;24;2023-02-13;7;lundi
91;722;1;1;24;2023-02-14;7;mardi
92;722;1;1;24;2023-02-15;7;mercredi
93;722;1;1;24;2023-02-16;7;jeudi
94;722;1;1;24;2023-02-17;7;vendredi
95;722;1;1;24;2023-02-20;8;lundi
96;722;1;1;24;2023-02-21;8;mardi
97;722;1;1;24;2023-02-22;8;mercredi
98;722;1;1;24;2023-02-23;8;jeudi
99;722;1;1;24;2023-02-24;8;vendredi
100;722;1;1;24;2023-02-27;9;lundi
101;722;1;1;24;2023-02-28;9;mardi
102;722;1;1;24;2023-03-01;9;mercredi
103;722;1;1;24;2023-03-02;9;jeudi
104;722;1;1;24;2023-03-03;9;vendredi
105;722;1;1;26;2023-03-06;10;lundi
106;722;1;1;26;2023-03-07;10;mardi
107;722;1;1;26;2023-03-08;10;mercredi
108;722;1;1;26;2023-03-09;10;jeudi
109;722;1;1;26;2023-03-10;10;vendredi
110;722;1;1;26;2023-03-13;11;lundi
111;722;1;1;26;2023-03-14;11;mardi
112;722;1;1;26;2023-03-15;11;mercredi
113;722;1;1;26;2023-03-16;11;jeudi
114;722;1;1;24;2023-03-17;11;vendredi
115;722;1;1;24;2023-03-20;12;lundi
116;722;1;1;24;2023-03-21;12;mardi
117;722;1;1;24;2023-03-22;12;mercredi
118;722;1;1;24;2023-03-23;12;jeudi
119;722;1;1;24;2023-03-24;12;vendredi
120;722;1;1;26;2023-03-27;13;lundi
121;722;1;1;24;2023-03-28;13;mardi
122;722;1;1;24;2023-03-29;13;mercredi
123;722;1;1;24;2023-03-30;13;jeudi
124;722;1;1;24;2023-03-31;13;vendredi
125;722;1;1;24;2023-04-03;14;lundi
126;722;1;1;24;2023-04-04;14;mardi
127;722;1;1;24;2023-04-05;14;mercredi
128;722;1;1;24;2023-04-06;14;jeudi
129;722;1;1;26;2023-04-07;14;vendredi
130;722;1;1;69;2023-04-10;15;lundi
131;722;1;1;24;2023-04-11;15;mardi
132;722;1;1;24;2023-04-12;15;mercredi
133;722;1;1;69;2023-04-13;15;jeudi
134;722;1;1;24;2023-04-14;15;vendredi
135;721;2;2;25;2022-12-12;51;lundi
136;721;2;2;25;2022-12-13;51;mardi
137;721;2;2;25;2022-12-14;51;mercredi
138;721;2;2;25;2022-12-15;51;jeudi
139;721;2;2;25;2022-12-16;51;vendredi
140;721;2;2;25;2022-12-05;50;lundi
141;721;2;2;25;2022-12-06;50;mardi
142;721;2;2;25;2022-12-07;50;mercredi
143;721;2;2;25;2022-12-08;50;jeudi
144;721;2;2;25;2022-12-09;50;vendredi
145;721;2;2;25;2022-12-19;52;lundi
146;721;2;2;25;2022-12-20;52;mardi
147;721;2;2;25;2022-12-21;52;mercredi
148;721;2;2;25;2022-12-22;52;jeudi
149;721;2;2;25;2022-12-23;52;vendredi
150;721;2;2;25;2023-01-03;1;mardi
151;721;2;2;25;2023-01-04;1;mercredi
152;721;2;2;25;2023-01-05;1;jeudi
153;721;2;2;25;2023-01-06;1;vendredi
154;721;2;2;25;2023-01-09;2;lundi
155;721;2;2;25;2023-01-10;2;mardi
156;721;2;2;25;2023-01-11;2;mercredi
157;721;2;2;25;2023-01-12;2;jeudi
158;721;2;2;25;2023-01-13;2;vendredi
